specification,dataset,field,datasets,requirement-level,description,guidance,hint,notes,start-date,end-date
design-code,design-code-area,start-date,,,the date the validity of the record starts,,,,,
design-code,design-code-area,end-date,,,the date the validity of the record ends,,,,,
developer-contributions,developer-agreement,reference,,,,,,,,
developer-contributions,developer-agreement,name,,,,,,,,
developer-contributions,developer-agreement,developer-agreement-type,,,,,,,,
developer-contributions,developer-agreement,planning-application,,,,,,,,
developer-contributions,developer-agreement,document-url,,,,,,,,
developer-contributions,developer-agreement,notes,,,,,,,,
developer-contributions,developer-agreement,organisation,,,,,,,,
developer-contributions,developer-agreement,entry-date,,,,,,,,
developer-contributions,developer-agreement,start-date,,,,,,,,
developer-contributions,developer-agreement,end-date,,,,,,,,
developer-contributions,developer-agreement-contribution,reference,,,,,,,,
developer-contributions,developer-agreement-contribution,developer-agreement,,,,,,,,
developer-contributions,developer-agreement-contribution,contribution-purpose,,,,,,,,
developer-contributions,developer-agreement-contribution,amount,,,,,,,,
developer-contributions,developer-agreement-contribution,units,,,,,,,,
developer-contributions,developer-agreement-contribution,notes,,,,,,,,
developer-contributions,developer-agreement-contribution,organisation,,,,,,,,
developer-contributions,developer-agreement-contribution,entry-date,,,,,,,,
developer-contributions,developer-agreement-contribution,start-date,,,,,,,,
developer-contributions,developer-agreement-contribution,end-date,,,,,,,,
developer-contributions,developer-agreement-transaction,reference,,,,,,,,
developer-contributions,developer-agreement-transaction,developer-agreement-contribution,,,,,,,,
developer-contributions,developer-agreement-transaction,contribution-funding-status,,,,,,,,
developer-contributions,developer-agreement-transaction,amount,,,,,,,,
developer-contributions,developer-agreement-transaction,units,,,,,,,,
developer-contributions,developer-agreement-transaction,notes,,,,,,,,
developer-contributions,developer-agreement-transaction,organisation,,,,,,,,
developer-contributions,developer-agreement-transaction,entry-date,,,,,,,,
developer-contributions,developer-agreement-transaction,start-date,,,,,,,,
developer-contributions,developer-agreement-transaction,end-date,,,,,,,,
development-corporation-boundary,development-corporation-boundary,reference,,MUST,,,,,,
development-corporation-boundary,development-corporation-boundary,name,,SHOULD,,,,,,
development-corporation-boundary,development-corporation-boundary,documentation-url,,SHOULD,,,,,,
development-corporation-boundary,development-corporation-boundary,document-url,,SHOULD,,,,,,
development-corporation-boundary,development-corporation-boundary,geometry,,SHOULD,,,,,,
development-corporation-boundary,development-corporation-boundary,entry-date,,SHOULD,,,,,,
development-corporation-boundary,development-corporation-boundary,start-date,,SHOULD,,,,,,
development-corporation-boundary,development-corporation-boundary,end-date,,MAY,,,,,,
development-corporation-boundary,development-corporation-boundary,notes,,MAY,,,,,,
development-plan,development-plan,reference,,MUST,,,,,,
development-plan,development-plan,name,,SHOULD,,,,,,
development-plan,development-plan,dataset,,MUST,,,,,,
development-plan,development-plan,period-start-date,,SHOULD,,,,,,
development-plan,development-plan,period-end-date,,SHOULD,,,,,,
development-plan,development-plan,local-planning-authorities,local-plan;supplementary-plan,SHOULD,,,,,,
development-plan,development-plan,mineral-planning-authorities,minerals-plan,SHOULD,,,,,,
development-plan,development-plan,waste-planning-authorities,waste-plan,SHOULD,,,,,,
development-plan,development-plan,local-plan-process,,SHOULD,,,,,,
development-plan,development-plan,documentation-url,,MUST,,,,,,
development-plan,development-plan,document-url,,MUST,,,,,,
development-plan,development-plan,required-housing,,MUST,,,,,,
development-plan,development-plan,entry-date,,SHOULD,,,,,,
development-plan,development-plan,start-date,,SHOULD,,,,,,
development-plan,development-plan,end-date,,MAY,,,,,,
development-plan,development-plan,notes,,MAY,,,,,,
development-plan,development-plan-timetable,reference,,MUST,,,,,,
development-plan,development-plan-timetable,development-plan,,MUST,,,,,,
development-plan,development-plan-timetable,development-plan-event,,MUST,,,,,,
development-plan,development-plan-timetable,predicted-date,,MUST,,,,,,
development-plan,development-plan-timetable,entry-date,,SHOULD,,,,,,
development-plan,development-plan-timetable,start-date,,SHOULD,,,,,,
development-plan,development-plan-timetable,notes,,MAY,,,,,,
development-plan,local-plan-housing,reference,,MUST,,,,,,
development-plan,local-plan-housing,local-plan,,MUST,,,,,,
development-plan,local-plan-housing,required-housing,,MUST,,,,,,
development-plan,local-plan-housing,committed-housing,,MAY,,,,,,
development-plan,local-plan-housing,allocated-housing,,MAY,,,,,,
development-plan,local-plan-housing,broad-locations-housing,,MAY,,,,,,
development-plan,local-plan-housing,windfall-housing,,MAY,,,,,,
development-plan,local-plan-housing,entry-date,,SHOULD,,,,,,
development-plan,local-plan-housing,start-date,,SHOULD,,,,,,
development-plan,local-plan-housing,end-date,,MAY,,,,,,
development-plan,local-plan-housing,notes,,MAY,,,,,,
development-policy,development-policy,reference,,,,,,,,
development-policy,development-policy,name,,,,,,,,
development-policy,development-policy,development-plan-document,,,,,,,,
development-policy,development-policy,development-policy-categories,,,,,,,,
development-policy,development-policy,organisation,,,,,,,,
development-policy,development-policy,entry-date,,,,,,,,
development-policy,development-policy,start-date,,,,,,,,
development-policy,development-policy,end-date,,,,,,,,
development-policy,development-policy-area,reference,,,,,,,,
development-policy,development-policy-area,name,,,,,,,,
development-policy,development-policy-area,development-policies,,,,,,,,
development-policy,development-policy-area,geometry,,,,,,,,
development-policy,development-policy-area,organisation,,,,,,,,
development-policy,development-policy-area,entry-date,,,,,,,,
development-policy,development-policy-area,start-date,,,,,,,,
development-policy,development-policy-area,end-date,,,,,,,,
infrastructure-funding-statement,infrastructure-funding-statement,reference,,,a unique identifier for the IFS document,,,,,
infrastructure-funding-statement,infrastructure-funding-statement,name,,,the name given to the IFS document,,,,,
infrastructure-funding-statement,infrastructure-funding-statement,document-url,,,a url to the IFS document,,,,,
infrastructure-funding-statement,infrastructure-funding-statement,documentation-url,,,a url to the page where the IFS document has been published,,,,,
infrastructure-funding-statement,infrastructure-funding-statement,organisation,,,a reference to the publishing organisation,,,,,
infrastructure-funding-statement,infrastructure-funding-statement,period-start-date,,,a date for the start of the period the document covers,,,,,
infrastructure-funding-statement,infrastructure-funding-statement,period-end-date,,,a date for the end of the period the document covers,,,,,
